x;y;gid;Name;description;new
6.1245553;51.053281;243;Bushalte;Bushalte;Bushaltestelle
6.17554;51.02905;244;Horst, Heinsberg, Horst Ort;Bushalte;Bushaltestelle
6.19385;51.02719;245;Randerath, Heinsberg, Randerath Himmerich Waldesruh;Bushalte;Bushaltestelle
6.18982;51.02287;246;Randerath, Heinsberg, Randerath Himmerich;Bushalte;Bushaltestelle
6.17237;51.01998;247;Randerath, Heinsberg, Randerath Am Hellenkamp;Bushalte;Bushaltestelle
6.17254;51.01599;248;Randerath, Heinsberg, Randerath Sandberg;Bushalte;Bushaltestelle
6.17693;51.01578;249;Randerath, Heinsberg, Randerath Kirche;Bushalte;Bushaltestelle
6.18163;51.01648;250;Randerath, Heinsberg, Randerath Bahnhof (Bus);Bushalte;Bushaltestelle
6.18383;51.01388;251;Randerath, Heinsberg, Randerath Heerweg;Bushalte;Bushaltestelle
6.1882626;51.0123365;252;Karin Hanrath Schulkinderbeförderung;Bushalte;Bushaltestelle
6.1659401;51.00346;253;Nirm, Geilenkirchen, Nirm;Bushalte;Bushaltestelle
6.1824439;51.0162306;254;Bahnhof;Bahnhof;Bahnhof
6.1822105;51.0288191;255;Bahnhof;Bahnhof;Bahnhof
6.17794;51.00218;256;Flahstraß, Geilenkirchen, Flahstraß;Bushalte;Bushaltestelle
6.23169;51.01025;257;Brachelen, Hückelhoven, Brachelen Alter Steinweg;Bushalte;Bushaltestelle
6.23272;51.00887;258;Brachelen, Hückelhoven, Brachelen Unterführung;Bushalte;Bushaltestelle
6.2312814;51.0077146;259;Brachelen;Bushalte;Bushaltestelle
6.17871;50.99198;260;Würm, Geilenkirchen, Würm Kirche;Bushalte;Bushaltestelle
6.15155;50.97864;261;Süggerath, Geilenkirchen, Süggerath Mühlenkamp;Bushalte;Bushaltestelle
6.15111;50.97806;262;Süggerath, Geilenkirchen, Süggerath Unterdorf;Bushalte;Bushaltestelle
6.14951;50.97605;263;Süggerath, Geilenkirchen, Süggerath Kirche;Bushalte;Bushaltestelle
6.1431;50.97249;264;Süggerath, Geilenkirchen, Süggerath Oberdorf;Bushalte;Bushaltestelle
6.16771;50.96597;265;Prummern, Geilenkirchen, Prummern Friedhof;Bushalte;Bushaltestelle
6.13244;50.97286;266;Geilenkirchen, Geilenkirchen, Burg Trips;Bushalte;Bushaltestelle
6.16771;50.96597;267;Prummern, Geilenkirchen, Prummern Friedhof;Bushalte;Bushaltestelle
6.16772;50.95362;268;Immendorf, Geilenkirchen, Immendorf Friedhof;Bushalte;Bushaltestelle
6.17272;50.95114;269;Immendorf, Geilenkirchen, Immendorf Amt;Bushalte;Bushaltestelle
6.142;50.96157;270;Geilenkirchen, Geilenkirchen, Loherhof;Bushalte;Bushaltestelle
6.13415;50.95794;271;Geilenkirchen, Geilenkirchen, Abzw. Loherhof;Bushalte;Bushaltestelle
6.19018;50.95358;272;Apweiler, Geilenkirchen, Apweiler;Bushalte;Bushaltestelle
6.15424;50.94349;273;Waurichen, Geilenkirchen, Waurichen;Bushalte;Bushaltestelle
6.1355999;50.96059;274;Hünshoven, Geilenkirchen, Hünshoven;Bushalte;Bushaltestelle
6.1310834;50.962069;275;Bushalte;Bushalte;Bushaltestelle
6.12405;50.96109;276;Geilenkirchen, Geilenkirchen, Bahnhof (Bus);Bahnhof;Bahnhof
6.1232198;50.9608384;277;WestVerkehr GmbH;Bushalte;Bushaltestelle
6.123974;50.961562;278;Geilenkirchen, Bahnhof;Bushalte;Bushaltestelle
6.121247;50.963718;279;Geilenkirchen, Markt;Bushalte;Bushaltestelle
6.11197;50.96629;280;Bauchem, Geilenkirchen, Bauchem Sittarder Straße;Bushalte;Bushaltestelle
6.11217;50.96821;281;Geilenkirchen, Geilenkirchen, Berufskolleg;Bushalte;Bushaltestelle
6.11951;50.97199;282;Geilenkirchen, Geilenkirchen, Landstraße;Bushalte;Bushaltestelle
6.1134;50.97151;283;Bauchem, Geilenkirchen, Bauchem Kirche;Bushalte;Bushaltestelle
6.11741;50.98387;284;Niederheid, Geilenkirchen, Niederheid Gewerbegeb. Fürthenrode;Bushalte;Bushaltestelle
6.1192;50.96531;285;Heinrich Funken Autobus Reisedienst oHG;Bushalte;Bushaltestelle
6.11437;50.96556;286;Geilenkirchen, Geilenkirchen, Kreuzstraße;Bushalte;Bushaltestelle
6.1161638;50.9656043;287;Bushalte;Bushalte;Bushaltestelle
6.1153216;50.9658408;288;Bushalte;Bushalte;Bushaltestelle
6.1112232;50.9664861;289;Bushalte;Bushalte;Bushaltestelle
6.10733;50.9682;290;Geilenkirchen, Geilenkirchen, Johann-Plum-Platz;Bushalte;Bushaltestelle
6.10429;50.967141;291;Bauchem, Schutzenstrasse;Bushalte;Bushaltestelle
6.1042509;50.9670092;292;Bushalte;Bushalte;Bushaltestelle
6.104452;50.966972;293;Bushalte;Bushalte;Bushaltestelle
6.10021;50.96867;294;Bauchem, Geilenkirchen, Bauchem Flandernstraße;Bushalte;Bushaltestelle
6.10513;50.97063;295;Geilenkirchen, Geilenkirchen, Bauchem Geldernstraße;Bushalte;Bushaltestelle
6.09403;50.97146;296;Bauchem, Geilenkirchen, Bauchem Gutenbergstraße;Bushalte;Bushaltestelle
6.1106;50.97288;297;Bauchem, Geilenkirchen, Bauchem Schulzentrum;Bushalte;Bushaltestelle
6.105065;50.973473;298;Bauchem, Geilenkirchen, Bauchem Niederheider Weg;Bushalte;Bushaltestelle
6.11645;50.97096;299;Geilenkirchen, Geilenkirchen, Gerhart-Hauptmann-Straße;Bushalte;Bushaltestelle
6.1235735;50.9666299;300;Geilenkirchen, Geilenkirchen, Martin-Heyden-Straße;Bushalte;Bushaltestelle
6.1212;50.96247;301;Geilenkirchen Kaufland , Haihover Straße;Bushalte;Bushaltestelle
6.1193842;50.969056;302;Bushalte;Bushalte;Bushaltestelle
6.1227608;50.965753;303;Bushalte;Bushalte;Bushaltestelle
6.1216074;50.9633441;304;Bushalte;Bushalte;Bushaltestelle
6.1257917;50.9637428;305;Bushalte;Bushalte;Bushaltestelle
6.1241156;50.9610833;306;Geilenkirchen;Bushalte;Bushaltestelle
6.114155;50.9598753;307;Bushalte;Bushalte;Bushaltestelle
6.1094224;50.9638903;308;Bushalte;Bushalte;Bushaltestelle
6.1214036;50.9720279;309;Bushalte;Bushalte;Bushaltestelle
6.10037;50.94929;310;Frelenberg, Übach-Palenberg, Frelenberg Heinsberger Straße;Bushalte;Bushaltestelle
6.1096978;50.9565595;311;Bushalte;Bushalte;Bushaltestelle
6.10037;50.94929;312;Frelenberg, Übach-Palenberg, Frelenberg Heinsberger Straße;Bushalte;Bushaltestelle
6.1021999;50.94565;313;Frelenberg, Übach-Palenberg, Frelenberg Teverenstraße;Bushalte;Bushaltestelle
6.10729;50.94401;314;Frelenberg, Übach-Palenberg, Frelenberg Ägidiusstraße;Bushalte;Bushaltestelle
6.10565;50.94334;315;Frelenberg, Übach-Palenberg, Frelenberg Kirche;Bushalte;Bushaltestelle
6.11338;50.9432;316;Frelenberg, Übach-Palenberg, Frelenberg Ackerstraße;Bushalte;Bushaltestelle
6.11469;50.94094;317;Frelenberg, Übach-Palenberg, Frelenberg Urweg;Bushalte;Bushaltestelle
6.11053;50.94048;318;Frelenberg, Übach-Palenberg, Frelenberg Gürzelweg;Bushalte;Bushaltestelle
6.106473;50.9416992;319;Bushalte;Bushalte;Bushaltestelle
6.10366;50.93536;320;Zweibrüggen, Übach-Palenberg, Abzw. Zweibrüggen;Bushalte;Bushaltestelle
6.10007;50.93636;321;Zweibrüggen, Übach-Palenberg, Zweibrüggen Wurmbrücke;Bushalte;Bushaltestelle
6.09223;50.93889;322;Windhausen, Übach-Palenberg, Windhausen;Bushalte;Bushaltestelle
6.0961686;50.935766;323;Bushalte;Bushalte;Bushaltestelle
6.08073;50.93957;324;Siepenbusch, Übach-Palenberg, Siepenbusch;Bushalte;Bushaltestelle
6.0702;50.94432;325;Grotenrath, Geilenkirchen, Grotenrath Eigelshoven;Bushalte;Bushaltestelle
6.06659;50.94002;326;Grotenrath, Geilenkirchen, Grotenrath Am Feldkreuz;Bushalte;Bushaltestelle
